author_name,year_of_birth,gender,thesis_title,year_of_defense
Nathalie Le Leconte,(1911-1915),F,Attirer Métier Autre Rompre Terre Supposer Séparer Possible,1947
Anastasie-Marcelle Allard,C.1956,F,Reposer Long Six Obéir,1988
Anaïs Jean,c.1955,F,Brûler Grand Continuer Goût Ton Théâtre Grâce,1988
Frédérique Moreno,C.1916,F,Sourd Vague Gris Bête,1948
Andrée Mallet,c.1946,F,Appartenir Plaisir Seigneur Près Étranger,1975
Dorothée de la Perez,(1906),F,Digne Réserver Bas,1938
Gabrielle Poulain,(1942),F,Machine Mieux Trouver Fin Arrêter Aspect Consulter,1975
Frédérique Petitjean,c.1937,F,Âme Haut Armer Demain,1971
Philippine Bonnin du Guichard,(1932),F,Maison Carte Mauvais,1966
Gabrielle Morel de la Raynaud,(1936-1940),F,Article Courage Terre Placer,1974
Bernadette Allard,C.1944,F,Chose Heureux Causer Regarder Compagnie,1976
Victoire Grondin,(1952-1956),F,Pouvoir Étrange Blond,1986
Corinne Weiss,C.1949,F,Mur Relever Visible,1984
Catherine Leclercq,(1942),F,Tombe Personne Bon Contenter Médecin Faire Fond,1977
Susan Alves,C.1946,F,Pouvoir Ami Continuer Bout,1974
Julie Maurice,(1916-1920),F,Froid Prêt Un Très Juge Sous,1955
Aurore Gauthier,C.1953,F,Sourire Rêver Mariage Durant Pénétrer Crainte Partout,1986
Lorraine-Margaret Lecomte,(1906-1910),F,Sens Événement Fine Hauteur Honneur Mauvais Peine,1941
Odette Marques,C.1905,F,Réussir Ajouter Toujours,1935
Suzanne Gauthier-Buisson,(1929-1933),F,Français Envelopper Quelqu'Un Libre Corps Encore,1965
Henriette Toussaint,(1921-1925),F,Changer Pouvoir Travail Est Élever Seul,1956
Élodie de la Caron,(1932-1936),F,Terre Or Revenir Nourrir,1970
Joséphine Hamel,C.1903,F,Fou Voler Guère Aussi,1937
Dorothée Guilbert,(1903),F,Reste Marcher Bonheur Auprès,1936
Virginie Andre,(1936-1940),F,Violence Terreur Course,1974
Édith Lefèvre du Bonneau,c.1917,F,Nécessaire Enfin Mesure Ainsi Demeurer Briller,1950
Aurélie Ferreira,(1936-1940),F,Même Sujet Français Moyen Faute Terminer Combat,1970
Gabrielle du Joubert,c.1951,F,Cours Coucher Vaincre Point Devant Rouge Sein,1986
Renée Pasquier-Bourgeois,C.1951,F,Écarter Pays Heure Un Diriger Poussière,1980
Pauline Joubert-Chartier,c.1942,F,Agir Femme Fin Commander Examiner,1971
Margot Marques,C.1929,F,Suivant Baisser Émotion Je,1965
Colette Renaud,(1950-1954),F,Exemple Répandre Semblable,1983
Marcelle Couturier,(1939-1943),F,Fête Mode Pouvoir Vide Voie Apporter Pays,1970
Jeannine Fernandes,(1900-1904),F,Comme Quinze Entendre Éclairer Il Supérieur,1939
Astrid-Diane Gillet,(1944),F,Feu Trois Amener Social Temps Parfaitement,1979
Odette du Auger,c.1908,F,Rendre Penser Pouvoir Demi Rêve Point Verre,1939
Manon Marin,c.1910,F,Chaud Propos Séparer Tuer Condamner,1940
Françoise Guyon,(1909),F,Il Neuf Source Voler Attendre Front Après,1940
Arnaude Le Techer,c.1945,F,Vite Point Auteur Impossible,1980
Odette Fleury,(1916),F,Devenir Chanter Surprendre Placer Avouer Vieil Grain,1945
Brigitte Buisson-Masse,(1918-1922),F,Cause Compte Loin Drame Sommet Siège Chat,1949
Josette Roussel,(1907),F,Vêtir Chair Exiger Moyen Demain Pierre,1943
Maryse Gauthier,(1906),F,Salut Jambe Employer Portier Ce Flamme Dès Fête,1937
Clémence Guichard,C.1904,F,Âge Rouler Voisin Énorme Autour Conduire,1936
Gabrielle Valette-Neveu,(1916-1920),F,Auquel Devant Rose Plaindre Prix,1949
Manon Roussel-Delattre,(1939-1943),F,Femme Oublier Quartier Horizon Centre Pourtant,1973
Élisabeth Hamel,c.1912,F,Conduire Subir Ministre Non,1946
Victoire Leroux Le Vasseur,(1911),F,Sûr Rapidement Oh Suivant Menacer,1942
Clémence Wagner,(1956-1960),F,Chant Vent Moi Protéger Le,1989
Antoinette Roux,C.1952,F,Social Dent Fauteuil Retirer Souhaiter Consulter Visage,1986
Adrienne Maillet,(1901-1905),F,Cheveu Fixe Goutte Événement Avis,1940
Nathalie Robin,c.1904,F,Bruit Poésie Toi Empêcher Taire Près,1939
Julie Jacquot,C.1909,F,Répandre Voiture Mine Échapper Capable Affirmer Nombre Haine,1945
Madeleine Evrard-Renaud,(1934),F,Lien Naître Arrivée Debout Essayer Beau Mouvement,1968
Colette Le Renault,c.1957,F,Bas Agir Convenir Peu,1985
Édith Labbé,C.1907,F,Peu Jeunesse Auprès Soulever Annoncer,1943
Océane Laurent-Lebon,c.1908,F,Tombe Être Chasser Demi Leur Flot Marché,1942
Frédérique Joubert,C.1954,F,Rapport Taille Anglais D'Abord Selon Paix Herbe,1990
Dorothée Martineau-Turpin,(1919),F,Voyager Jeune Caresser Sens Oeil,1947
Élise Perez,C.1930,F,Rang Début Lui Ou Après Autrefois Loup Souhaiter,1963
Arnaude-Sophie Lelièvre,C.1917,F,Fruit Simplement Spectacle Protéger Partir,1946
Anne-Anastasie Gonzalez,(1932),F,Monde Autre Remplacer Rapidement Voici Recommencer Tel,1960
Maryse-Madeleine Lelièvre,(1932-1936),F,Apparence Plutôt Rencontre Large Devoir Empêcher Inviter,1963
Dominique Le Da Costa,(1947-1951),F,Soit Vérité Un Sac Goût,1982
Élise Alves,(1956),F,Manier Papa Million Rôle Politique,1989
Caroline Legrand,C.1904,F,Armée Traverser Remarquer Vêtir,1937
Michelle Vasseur-Verdier,c.1909,F,Liberté Non Remplir Apercevoir,1938
Frédérique Garnier-Giraud,(1912),F,Réduire Voici Liberté Importance,1941
Patricia de Bazin,(1939),F,Sac Position Cas Fort Police Huit,1967
Andrée-Manon Samson,(1949-1953),F,Circonstance Gens Accent Terme,1980
Henriette Leblanc Le Antoine,(1943),F,Confondre Fusil Glace Leur,1971
Nath de la Hamel,C.1943,F,Nature Commander Paysage Ombre,1973
Nath Vallée Le Lefort,(1957),F,Casser Jeune Intelligence Trou Souvenir Machine Refuser Joindre,1988
Alexandria Dupré,c.1957,F,Croiser Dos Victime Eau Jouer Depuis Espérer,1987
Christiane Le Pages,c.1954,F,L'Une Presser Place Changement Mal,1986
Christiane Schneider,C.1955,F,Lit Entre Sérieux Seuil Recherche,1984
Anaïs Diaz,(1951-1955),F,Partager Expérience Article Inutile Discours Éclat,1984
Catherine François,C.1932,F,Rejeter Est Heureux Debout Accepter Mur,1964
Suzanne du Carpentier,C.1948,F,Place Long Caractère Aucun Elle Accent Préparer,1980
Stéphanie-Céline Bègue,c.1908,F,Histoire Gros Forme Vert Écraser Livre Manquer Bruit,1943
Patricia Voisin,C.1955,F,Lettre Honte Avancer Entendre Cercle Perte Détacher,1983
Dorothée Pages,(1923),F,Chanter Tache Rôle Toi Toi Beaux,1955
Margaux Chauveau,C.1935,F,Là Mille Pays Deux Alors,1966
Claudine Simon,(1937-1941),F,Vague Semblable Sourire,1975
Valérie Diallo,c.1927,F,Risquer Gauche Découvrir Miser Résister Sourire Existence,1956
Émilie Julien,(1948-1952),F,Propre Ancien Point Enfant Beauté Vol Lutte,1982
Claudine Schmitt,(1954),F,Moitié Lourd Je Quitter,1990
Danielle Michel,(1947-1951),F,Décrire Confier Imposer Soulever,1979
Andrée Munoz-Raymond,(1909-1913),F,Éclat Relever Train Lutte Pensée Mort Unique,1944
Charlotte de Lecoq,c.1926,F,User Contenir Pluie À Bête Dans,1956
Susanne Louis,c.1933,F,Résultat Fatigue Refuser Propre Disparaître Trente Nu D'Autres,1965
Thérèse Rousseau,(1930),F,Autant Terminer Aspect Debout,1959
Marianne Gérard,C.1951,F,Français Ligne Remercier Résistance Métier,1979
Hortense Delannoy,C.1948,F,Brûler Chef Oh Midi Douleur Combat Plaire,1984
Alexandrie de Maillet,(1931-1935),F,Soin Heureux Faire Abandonner Monter Rencontrer Pont Chaleur,1963
Pénélope de la Rémy,(1945-1949),F,Malheur Rouge Forme Pareil Sortir Admettre Double,1984
Christine du Laroche,c.1951,F,Départ Argent De Pointe Mari Doucement,1979
Josette-Christiane Traore,(1943-1947),F,Courant Remonter Tenter Ramener Commencement,1974
Laetitia Duhamel,c.1914,F,Envie As Mémoire Ruine Couler Humide Vous Occuper,1950
Christine-Susan Laine,(1915),F,Voisin Nombreux Accorder Profond Déchirer Un,1944
Alice Le Raymond,C.1910,F,Dessus Avouer Puis Mal Vol Semblable Flot,1945
Valérie Huet,c.1950,F,Soir Donner Tellement Bataille,1978
Sabine-Michèle Guillon,C.1919,F,Compagnie Regard Fer Dont Ne Sable,1955
Amélie Simon,C.1922,F,Rassurer Moyen Convenir Boire,1952
Patricia Le Weber,(1915),F,Pièce Devenir Visite Voix,1948
Pauline Dubois,(1921-1925),F,Visite Mauvais Trou Personne Reconnaître Ciel,1958
Andrée-Joséphine Ferrand,C.1952,F,Coûter Toucher Cheval,1981
Suzanne-Catherine Lucas,(1955),F,Feuille Ancien Tenter Si,1988
Margot-Agnès Jacquet,C.1949,F,Que Eau Paupière Retour Blond But Accuser,1983
Caroline Lopez,(1937-1941),F,Rose Rire Papier Repousser À Appeler Vue,1970
Antoinette Diallo-Morel,(1934-1938),F,Dominer Absolument Mettre Quitter Exécuter,1969
Christiane Raynaud,(1939-1943),F,Affaire Tâche Savoir Libre,1972
Arnaude David,(1925-1929),F,Résister Inconnu Peser Surtout Créer,1960
Julie du Auger,C.1919,F,Volonté Charger Leur Souvenir,1947
Édith Gros,C.1942,F,Vague Beaux Si Suite,1978
Sophie Maury,(1914-1918),F,Drame Engager Pauvre Malheur,1952
Alexandrie Dumont de Vallet,c.1932,F,Tendre Chose Montrer Peur Veille Monde Prendre,1961
Astrid de Blondel,c.1953,F,Raconter Chiffre Admettre But Continuer,1987
Alex Merle,C.1939,F,Devenir Foi Rapide Tracer,1974
Susan-Lorraine Gillet,C.1910,F,Grand Franchir Sauvage Politique,1944
Paulette Bazin-Carre,(1899-1903),F,Entretenir Pont Erreur Selon Nation Songer Voix,1935
Christelle De Oliveira,C.1926,F,Ailleurs Rompre Taire Soin Parcourir Art Regarder,1961
Brigitte-Édith Jourdan,(1944-1948),F,Pensée Assez Cuisine Poète,1979
Henriette Gay,C.1955,F,Page Autrefois Honte Toucher,1985
Paulette Valette-Raymond,(1909),F,Endroit Désigner Réflexion Camarade Taire Léger Dur,1944
Suzanne Pires,c.1923,F,Rejoindre Éviter Foule Accent,1959
Nathalie Fabre,c.1926,F,Choix Consentir Source Accompagner Celui Partir Être,1956
Andrée Lefebvre,(1928-1932),F,Silence Forêt Pendant Discussion Sou Route Jeune,1960
Adélaïde du Renard,(1922-1926),F,Vite Pierre Anglais Même Souffrance Lequel,1956
Constance du Schmitt,(1950-1954),F,Tuer Visage Fusil Secours Système Mari Arrière Ancien,1989
Corinne-Audrey Nicolas,(1928),F,Remettre Usage Consentir Regarder Terre,1960
Maggie-Laure Lucas,c.1922,F,Discussion Taille Étendre Occasion Entraîner Rare Plaire Voir,1952
Éléonore du Diallo,c.1929,F,Soit Fou Quinze,1962
Julie Vallée,(1914),F,Sourd Effort Même Distance,1946
Constance Lefort,c.1905,F,Ville Français Vêtir Demi,1936
Pénélope Laroche,(1913),F,Palais Large Espace Plutôt,1943
Marguerite Lecoq,C.1944,F,Ignorer Saison Devoir Peser,1976
Anne François,(1937),F,Moitié Fatiguer Musique Choisir Alors Accompagner,1968
Nathalie Lefebvre-Klein,c.1910,F,Résultat Peine Quel Lien,1943
Geneviève Adam,(1948-1952),F,Passion Propos Finir Tandis Que Saison,1984
Marie Weiss,(1944-1948),F,Construire Course Sembler Troubler Huit,1976
Laure Brunel,(1931),F,Cercle Connaître Certainement Couvrir,1959
Aurore Le Renard,c.1943,F,Marier Cou Cri Un Père Âgé Absence,1971
Arnaude Blin,(1917-1921),F,Pendant Seul Bataille Doigt Donner Tombe,1954
Corinne Bertin,C.1907,F,Coin Inutile Jeunesse Masse Consentir Condition,1936
Laurence Roche,C.1942,F,Matière Voiture Sable Disposer Banc Signe,1977
Claude Le Munoz,(1926),F,Grand Recevoir Choisir Confondre,1956
Martine Lacombe,c.1936,F,Tomber Vision Lueur Supporter,1967
Christine Couturier,(1940-1944),F,Or Honneur Prison Prêter Médecin Règle,1973
Alexandrie Le Goff,(1909-1913),F,Confier Autre Cabinet Lui Tantôt Membre,1947
Geneviève du Langlois,c.1929,F,Aide Goût Compte Folie Passé,1962
Michelle Bruneau Le Chauvin,(1919),F,Livre Lèvre Matin Réclamer,1951
Michelle Pinto,(1927-1931),F,An Siège Race Race Eaux,1959
Denise Huet,c.1910,F,Muet Séparer Occuper Vieillard Suivant,1946
Bernadette Godard,C.1937,F,Nuit Ailleurs Durant Trop Transformer Franc,1973
Audrey Leclerc,(1903-1907),F,Conscience Asseoir Également Répandre,1935
Sabine de Launay,(1912),F,Sable Penser Poète Sonner Exister Champ,1943
Andrée Lecoq,(1946),F,Veille Tout Passé Et Le Caresser,1982
Cécile Lopez,(1951),F,Rapport Tandis Que Nombre Assurer,1985
Lorraine Langlois,C.1908,F,Marche Douceur Peine Dur,1939
Céline Lambert,(1951),F,Curiosité Cacher Assez Saluer,1984
Susanne Morel,C.1912,F,Fort Début Humain Ville Hiver Aile,1945
Émilie Chrétien de Thomas,c.1929,F,Apparence Commun Réel Arme,1964
Agathe Lebreton-Lebrun,(1924-1928),F,Espace Anglais Bon Premier Ramener Sentiment,1959
Michelle de la David,c.1923,F,Fonction Assister Ni Ton Qui,1951
Céline-Nathalie Collin,C.1914,F,Classe Autorité Compagnie Médecin Subir Précéder Répéter,1945
Marine Deschamps-Hernandez,(1955-1959),F,Cent Air Vers Oncle Déchirer Remplacer Sang,1988
Anouk de Delorme,(1905-1909),F,Maison Ramener Pays,1939
Pauline Bernier,(1901-1905),F,Dernier Son Satisfaire Époque Porte Intérieur,1938
Emmanuelle Becker,(1927),F,Poste Ce Également,1960
Adrienne Ribeiro,C.1941,F,Esprit Froid Seul Camarade,1970
Caroline-Constance Alexandre,C.1960,F,Finir Recommencer Petit Madame Séparer Rocher Argent,1989
Laetitia-Pénélope Verdier,(1917),F,Classe Soutenir Intérieur Éteindre,1953
Hélène-Margot Bailly,C.1912,F,Paquet Chacun Arme Nuit Exister Centre Semaine Égal,1947
Marguerite Picard,(1905),F,Condition Avis Naturel Guère Court Général Vague,1940
Patricia Garnier-Hernandez,(1948-1952),F,Être Curieux Travail Source Éclat Étendre,1982
Anne Da Costa,C.1905,F,Condition Roche Fusil,1938
Éléonore Antoine,(1929),F,Tu Attitude Agir Livrer Réclamer Dire Rare,1963
Colette Marty,(1957),F,Bande Remplir Énorme Résister Courir Argent Secret,1989
Amélie Lopes,c.1953,F,Essayer Quatre Faire Calme,1985
Margaud de la Laporte,c.1950,F,Temps Cheveu Veiller Bande Oui,1979
Michelle du Lamy,(1927-1931),F,Erreur Cas Arracher Avant,1965
Capucine Boulanger de la Vallée,(1942),F,Danger Idée Entourer Être Nature Saint Plan,1972
Anaïs Renard,C.1910,F,Cabinet Courant Âme Visage Prix Avec Solitude,1942
Victoire Jacquet,c.1905,F,Chasse Cou Garder Chaîne Réunir Doucement,1936
Alex Menard,(1934-1938),F,Père Façon Envoyer Quelque Aimer,1967
Diane Lemoine-Morel,(1920),F,Plan Sembler Droite Passage Leur,1952
Charlotte Dos Santos de Laporte,c.1929,F,Allumer Tête Interrompre Droit Couche Agir Décider,1962
Camille Berger,c.1934,F,Ce Promener Rapport,1962
Danielle Bernier-Gauthier,c.1954,F,Milieu Marcher Fin Maître Interrompre Violent Suivre,1988
Édith Guichard,(1903),F,Essayer Intérêt Sac Campagne Construire Son Point,1939
Andrée Blanc,(1913-1917),Female,Accord Forme Affaire Baisser Craindre Sauvage,1951
Stéphanie Dupont,(1917-1921),Female,Blanc Pluie Rare Sauvage Français,1952
Diane Chrétien Le Bègue,c.1907,Female,Frapper Sentiment Siècle Arriver Essuyer Tard Fauteuil,1943
Laure Cousin,(1928-1932),Female,Monter Puis Plutôt Supposer Tranquille Prétendre Envelopper,1963
Emmanuelle Giraud,C.1949,Female,Être Somme Ceci,1978
Marine du Bodin,C.1907,Female,Hauteur Image Reposer,1938
Camille Martinez,C.1935,Female,Rencontre Faim Franchir,1964
Astrid Lenoir,c.1902,Female,Notre Tendre Chute Également Courir Riche,1936
Juliette Gilles,(1925),Female,Valeur François Genre Mémoire Époque Appel Vêtir,1961
Chantal Mendès,c.1926,Female,Achever Minute Mot Accrocher Bras,1956
Anouk Étienne,(1932-1936),Female,Figurer Même Certain Colère,1968
Noémi-Maryse Colin,(1953),Female,Auteur Pas Bas Vol Direction Faveur Espoir,1986
Frédérique Bernier,C.1939,Female,Lieu Tout Avant Repousser Vieillard,1969
Susan Grondin,(1938-1942),Female,Prouver Emmener Envelopper Parent,1977
Alexandrie Chauvet de Deschamps,(1904-1908),Female,Eh Page Pointe Bon Suivre Écraser,1939
Laure Blanchard,(1908-1912),Female,Avouer Papa Seulement Général Comme Se Prière,1946
Hortense Hardy,(1907-1911),Female,Compagnon Ouvert Prochain Cuisine,1945
Michelle Blondel,(1959),Female,Bureau Pleurer Lever Poste Être Promener Côte,1988
Anastasie Mace,c.1944,Female,Malheur Double Intérêt Palais,1980
Lucie Gilles,c.1948,Female,Cerveau Arriver Bon,1981
Alexandria Perrin-Mahe,C.1922,Female,Libre Mieux Est Regard,1956
Claude-Inès Charles,(1930-1934),Female,Robe Vivre Oublier Proposer,1966
Sabine Lévêque,c.1907,Female,Chasser Remplacer Abattre Céder,1942
Lorraine Delattre,C.1937,Female,Chemise Cependant Soir Absence,1968
Sylvie Allain,(1903-1907),Female,Ailleurs Tenter Voix Imaginer Terminer Fine,1938
Véronique-Frédérique Collet,C.1916,Female,Haut Le Arrêter Quartier Jeu Propre Peuple Étaler,1952
Célina-Arnaude Germain,(1940-1944),Female,Prier Désirer Toujours Sorte Accepter Soutenir Ventre,1979
Valérie Masson-Martins,(1950-1954),Female,Oh Nation Fixe Assurer,1982
Chantal Fleury,(1903-1907),Female,Plaine Compagnon Amour Jusque Table Souvenir Paraître,1941
Claude Maury,C.1912,Female,Devant Bon Premier Général Loi Afin De Libre,1941
Renée Thierry,C.1950,Female,Nous Avoir Pièce Foi Que Moi Enlever,1983
Marguerite Becker,(1952-1956),Female,Devenir Quoi Problème Terreur Moindre Tranquille Société,1983
Claude Le Le Gall,(1945-1949),Female,Plaine Toute Depuis Élément Soin,1981
Jeanne Leconte,(1934-1938),Female,Juge Repousser Liberté Bureau Détruire Boire Arrêter,1970
Claire Garnier,(1906),Female,Présent De Retenir Doute Français,1939
Aurélie Devaux,(1911-1915),Female,Dame Lien Énergie Enfin,1949
Maggie Robin,(1931-1935),Female,Résoudre Leur Coucher Intérieur Honte Enfin Remettre,1969
Agnès Perret,(1931),Female,Maintenant Détacher Fin De,1967
Laetitia Maillot,C.1928,Female,Printemps Douze Esprit Chose,1961
Clémence David,(1905-1909),Female,Très Voyage Fruit Troisième Jeunesse Mentir,1937
Clémence Fernandez,(1947),Female,Malgré Soudain Petit Du Bas Toile,1980
Monique Diallo,(1913-1917),Female,Aucun Répéter Huit Calme Quitter,1951
Pauline Delattre-Grégoire,c.1936,Female,Gris Grave Voyager,1968
Michelle Marchand,c.1912,Female,Printemps Plaine Soutenir Rose Ventre Léger Endormir,1942
Marie Verdier,(1921),Female,Lisser Contre Franchir Quitter Notre Pensée Présent,1954
Marianne Colin Le Berger,(1929),Female,Véritable Quelque Rouge Juge Accomplir Pitié,1964
Jacqueline-Adèle Merle,(1950),Female,Bonheur Petit Frais Fine Certes Fête,1980
Henriette Ollivier,c.1946,Female,Etc Parvenir Cent Surprendre Bois Terre Nouveau,1975
Sylvie Rivière,(1939-1943),Female,Rompre Magnifique Éprouver,1970
Inès de la Ferreira,(1939-1943),Female,Feu Vendre Ventre,1970
Anouk Schmitt,c.1914,Female,Table Pareil Combat Pluie Conseil Tourner Rien,1949
Margot Dijoux,(1946-1950),Female,Aventure Intelligence Quelque Sérieux Causer Juge Partie,1978
Michèle Bonnet,(1932),Female,Désert Charge Attitude Maintenir,1963
Michèle Pasquier,(1950),Female,Jour Réclamer Oeil Notre Lune,1979
Caroline-Christelle Guérin,(1941),Female,Rendre Lèvre Sien Caractère Battre,1975
Dominique Gaillard,C.1950,Female,Tenir Conseil Écraser Discours,1986
Nath Germain,c.1929,Female,Cerveau Occuper Compagnon Mener Réalité Grand,1960
Pauline Cordier,(1954),Female,Lui Entrer Inquiétude Seigneur Chute Prière Curiosité,1986
Amélie Le Vallet,(1918-1922),Female,Importance Leur Lentement Courant Accomplir Corde Plus,1949
Gabrielle-Éléonore Morin,C.1910,Female,D'Autres Dans Paysage Officier Oncle,1945
Amélie Gosselin,c.1917,Female,Assurer Race Puissance Drame Courir Fort,1949
Clémence-Laure Laroche,c.1948,Female,Demande Chose Travers Voisin Énorme Tromper Lorsque,1978
Sophie Simon-Faure,c.1925,Female,Tuer Demander Endroit,1953
Paulette Charles,(1915-1919),Female,Rentrer Couler Être Soi,1951
Manon Le Gall Le Gomes,C.1904,Female,Sauter Attention Nommer Paix Champ Tête Lever Fait,1937
Denise Raymond-Aubert,c.1912,Female,Désigner Paquet Interroger,1943
Clémence Monnier,C.1919,Female,Dent Suite Religion Bouche Général Oeil Sol,1955
Margaux Brunet de la Lejeune,(1925),Female,Triste Quinze Verre Famille Grâce Déchirer,1958
Frédérique Legendre-Leclercq,(1957-1961),Female,Continuer Réfléchir Voyage Habiter Parti Mériter,1990
Sophie-Nathalie Chevallier,(1953),Female,Saison Marier Précipiter Accrocher Mot Manier,1989
Marianne Marchand de Chevalier,(1943),Female,Produire Abattre Premier,1975
Camille Bazin,(1917-1921),Female,Papier Ton Casser Casser Chaleur Pluie User Chemin,1949
Emmanuelle de Masse,C.1911,Female,D'Autres Fil Intéresser Même Doux,1946
Adélaïde du Collin,(1940),Female,Fenêtre Muet Jardin Défendre,1968
Danielle Marty-Michel,(1909),Female,Faire Autre Abri Salut Manger,1945
Capucine Le Nguyen,c.1912,Female,Journée Papa Roman Commencement Étranger,1945
Renée Pons,c.1921,Female,Passé Oui Position Jardin Changement Courage Repas,1949
Philippine de la Gosselin,C.1919,Female,École Voile Chaud Aventure Fou Quelqu'Un Contre Eh,1949
Dorothée Grégoire,C.1917,Female,Fête Papier Sol Nord,1949
Susanne Denis,(1923),Female,Expérience As Travailler Temps,1958
Anastasie Rousset,C.1935,Female,Compagnon Atteindre Demande Au Maître Pauvre,1967
Michèle Clément,(1932-1936),Female,Sentir Appartenir Recherche,1970
Marine Briand,c.1938,Female,Désigner Dieu Retomber Voilà Rendre Loin Espèce Trace,1973
Catherine Guyot,(1921-1925),Female,Miser Oncle Cent Reculer Pousser Midi,1955
Océane-Jacqueline Leroy,C.1918,Female,Nature Neuf Franc Trembler Monsieur Casser,1953
Dominique Marie,(1917-1921),Female,Couper Commencer Peine Chaîne Comprendre,1950
Olivie Lefort Le Lamy,(1947-1951),Female,Premier Chambre Fatigue Chance,1981
Sabine-Claude Gaudin,c.1911,Female,Éclairer Examiner Protéger Avant D'Autres Cri Couleur,1939
Maggie Fischer,(1908),Female,Glisser Durer Travailler Lèvre Animer Leur,1938
Martine Joseph,(1934-1938),Female,Bête Rang Profond Mot,1972
Michelle Martineau,(1926-1930),Female,Patron Espérer Plein An Vaincre Coin Spectacle,1957
Laetitia Guillot,c.1932,Female,Salut Fumer Plaindre,1963
Claude-Jacqueline Joseph,c.1939,Female,Songer Hasard Froid Ramasser Répandre,1973
Emmanuelle Faure,C.1958,Female,Ligne Paysage Tâche Préparer Sueur Vingt Hasard,1989
Clémence Bonneau de la Vasseur,(1943),Female,Angoisse Agir Envoyer Million Enfance Vraiment,1974
Françoise de Poirier,C.1912,Female,Titre Saluer Justice Trop Trembler,1947
Antoinette Collet,c.1958,Female,Grandir Goût Aucun Voilà Bois Journée,1987
Anouk Robin,(1898-1902),Female,Grandir Prévenir Chaise Peau,1937
Colette Imbert du Vallée,C.1934,Female,Personne Y Sien Retrouver,1967
Véronique Hoareau-Merle,c.1909,Female,Immobile Là Police Pouvoir Toute Finir,1943
Danielle Charles,(1920-1924),Female,Veiller Remplir Problème Exemple Étouffer Tomber Anglais,1954
Anouk Boucher-Boucher,C.1940,Female,Jeu Monsieur Recevoir Réduire,1971
Jeanne Lesage-Marchal,(1925-1929),Female,Quelque Commander Foi Jeu Pourquoi Fusil,1958
Sophie-Marie Wagner,C.1947,Female,Demi Meilleur Sans Trace Membre Prison Ligne,1975
Marthe Guillot,(1925),Female,Terrain Quinze Professeur Plein Sentier,1961
Inès Guyot,(1923-1927),Female,Employer Magnifique Fumer Curiosité Couleur Rire,1955
Claude Bonnin,c.1920,Female,Parcourir Fixer Spectacle Personne Large,1953
Colette Diaz,(1906-1910),Female,Prochain Non Riche Fils Facile Flot,1942
Alexandrie Fournier,(1944),Female,Ci Trou Discuter,1979
Adélaïde de la Marques,c.1914,Female,Matin Courage Fusil,1946
Anaïs Jean,(1941),Female,Neuf Prétendre Convenir Appel Bleu Entier Apparaître,1975
Maryse Buisson,c.1914,Female,Or Regard Immobile,1943
Aurore Ferreira,C.1958,Female,Aucun Lit Plan Larme Lors Lutter Tranquille,1988
Margot Dubois,(1951-1955),Female,Tirer Durant Avenir Rapidement,1983
Thérèse Mathieu,c.1939,Female,Autre Aide Pareil Mine Froid Créer Rapporter,1972
Lorraine Delaunay,c.1908,Female,Odeur Mémoire Élever Violence Relation,1941
Françoise Vasseur,c.1905,Female,Chose Magnifique Courant Parmi Seul Du Beauté Quatre,1937
Susan Alexandre-Monnier,c.1940,Female,Fille Portier Choix Herbe Signer Trou Dehors,1970
