author_name,year_of_birth,gender,thesis_title,year_of_defense
Philippine Bonnin du Guichard,1932,F,Maison Carte Mauvais,1966
Gabrielle Morel de la Raynaud,1938,F,Article Courage Terre Placer,1974
Bernadette Allard,1944,F,Chose Heureux Causer Regarder Compagnie,1976
Victoire Grondin,1954,F,Pouvoir Étrange Blond,1986
Corinne Weiss,1949,F,Mur Relever Visible,1984
Catherine Leclercq,1942,F,Tombe Personne Bon Contenter Médecin Faire Fond,1977
Susan Alves,1946,F,Pouvoir Ami Continuer Bout,1974
Julie Maurice,1918,F,Froid Prêt Un Très Juge Sous,1955
Aurore Gauthier,1953,F,Sourire Rêver Mariage Durant Pénétrer Crainte Partout,1986
Lorraine-Margaret Lecomte,1908,F,Sens Événement Fine Hauteur Honneur Mauvais Peine,1941
Odette Marques,1905,F,Réussir Ajouter Toujours,1935
Suzanne Gauthier-Buisson,1931,F,Français Envelopper Quelqu'Un Libre Corps Encore,1965
Henriette Toussaint,1923,F,Changer Pouvoir Travail Est Élever Seul,1956
Élodie de la Caron,1934,F,Terre Or Revenir Nourrir,1970
Joséphine Hamel,1903,F,Fou Voler Guère Aussi,1937
Dorothée Guilbert,1903,F,Reste Marcher Bonheur Auprès,1936
Virginie Andre,1938,F,Violence Terreur Course,1974
Édith Lefèvre du Bonneau,1917,F,Nécessaire Enfin Mesure Ainsi Demeurer Briller,1950
Aurélie Ferreira,1938,F,Même Sujet Français Moyen Faute Terminer Combat,1970
Gabrielle du Joubert,1951,F,Cours Coucher Vaincre Point Devant Rouge Sein,1986
Renée Pasquier-Bourgeois,1951,F,Écarter Pays Heure Un Diriger Poussière,1980
Pauline Joubert-Chartier,1942,F,Agir Femme Fin Commander Examiner,1971
Margot Marques,1929,F,Suivant Baisser Émotion Je,1965
Colette Renaud,1952,F,Exemple Répandre Semblable,1983
Marcelle Couturier,1941,F,Fête Mode Pouvoir Vide Voie Apporter Pays,1970
Jeannine Fernandes,1902,F,Comme Quinze Entendre Éclairer Il Supérieur,1939
Astrid-Diane Gillet,1944,F,Feu Trois Amener Social Temps Parfaitement,1979
Odette du Auger,1908,F,Rendre Penser Pouvoir Demi Rêve Point Verre,1939
Manon Marin,1910,F,Chaud Propos Séparer Tuer Condamner,1940
Françoise Guyon,1909,F,Il Neuf Source Voler Attendre Front Après,1940
Arnaude Le Techer,1945,F,Vite Point Auteur Impossible,1980
Odette Fleury,1916,F,Devenir Chanter Surprendre Placer Avouer Vieil Grain,1945
Brigitte Buisson-Masse,1920,F,Cause Compte Loin Drame Sommet Siège Chat,1949
Josette Roussel,1907,F,Vêtir Chair Exiger Moyen Demain Pierre,1943
Maryse Gauthier,1906,F,Salut Jambe Employer Portier Ce Flamme Dès Fête,1937
Clémence Guichard,1904,F,Âge Rouler Voisin Énorme Autour Conduire,1936
Gabrielle Valette-Neveu,1918,F,Auquel Devant Rose Plaindre Prix,1949
Manon Roussel-Delattre,1941,F,Femme Oublier Quartier Horizon Centre Pourtant,1973
Élisabeth Hamel,1912,F,Conduire Subir Ministre Non,1946
Victoire Leroux Le Vasseur,1911,F,Sûr Rapidement Oh Suivant Menacer,1942
Clémence Wagner,1958,F,Chant Vent Moi Protéger Le,1989
Antoinette Roux,1952,F,Social Dent Fauteuil Retirer Souhaiter Consulter Visage,1986
Adrienne Maillet,1903,F,Cheveu Fixe Goutte Événement Avis,1940
Nathalie Robin,1904,F,Bruit Poésie Toi Empêcher Taire Près,1939
Julie Jacquot,1909,F,Répandre Voiture Mine Échapper Capable Affirmer Nombre Haine,1945
Madeleine Evrard-Renaud,1934,F,Lien Naître Arrivée Debout Essayer Beau Mouvement,1968
Colette Le Renault,1957,F,Bas Agir Convenir Peu,1985
Édith Labbé,1907,F,Peu Jeunesse Auprès Soulever Annoncer,1943
Océane Laurent-Lebon,1908,F,Tombe Être Chasser Demi Leur Flot Marché,1942
Frédérique Joubert,1954,F,Rapport Taille Anglais D'Abord Selon Paix Herbe,1990
Dorothée Martineau-Turpin,1919,F,Voyager Jeune Caresser Sens Oeil,1947
Élise Perez,1930,F,Rang Début Lui Ou Après Autrefois Loup Souhaiter,1963
Arnaude-Sophie Lelièvre,1917,F,Fruit Simplement Spectacle Protéger Partir,1946
Anne-Anastasie Gonzalez,1932,F,Monde Autre Remplacer Rapidement Voici Recommencer Tel,1960
Maryse-Madeleine Lelièvre,1934,F,Apparence Plutôt Rencontre Large Devoir Empêcher Inviter,1963
Dominique Le Da Costa,1949,F,Soit Vérité Un Sac Goût,1982
Élise Alves,1956,F,Manier Papa Million Rôle Politique,1989
Caroline Legrand,1904,F,Armée Traverser Remarquer Vêtir,1937
Michelle Vasseur-Verdier,1909,F,Liberté Non Remplir Apercevoir,1938
Frédérique Garnier-Giraud,1912,F,Réduire Voici Liberté Importance,1941
Patricia de Bazin,1939,F,Sac Position Cas Fort Police Huit,1967
Andrée-Manon Samson,1951,F,Circonstance Gens Accent Terme,1980
Henriette Leblanc Le Antoine,1943,F,Confondre Fusil Glace Leur,1971
Nath de la Hamel,1943,F,Nature Commander Paysage Ombre,1973
Nath Vallée Le Lefort,1957,F,Casser Jeune Intelligence Trou Souvenir Machine Refuser Joindre,1988
Alexandria Dupré,1957,F,Croiser Dos Victime Eau Jouer Depuis Espérer,1987
Christiane Le Pages,1954,F,L'Une Presser Place Changement Mal,1986
Christiane Schneider,1955,F,Lit Entre Sérieux Seuil Recherche,1984
Anaïs Diaz,1953,F,Partager Expérience Article Inutile Discours Éclat,1984
Catherine François,1932,F,Rejeter Est Heureux Debout Accepter Mur,1964
Suzanne du Carpentier,1948,F,Place Long Caractère Aucun Elle Accent Préparer,1980
Stéphanie-Céline Bègue,1908,F,Histoire Gros Forme Vert Écraser Livre Manquer Bruit,1943
Patricia Voisin,1955,F,Lettre Honte Avancer Entendre Cercle Perte Détacher,1983
Dorothée Pages,1923,F,Chanter Tache Rôle Toi Toi Beaux,1955
Margaux Chauveau,1935,F,Là Mille Pays Deux Alors,1966
Claudine Simon,1939,F,Vague Semblable Sourire,1975
Valérie Diallo,1927,F,Risquer Gauche Découvrir Miser Résister Sourire Existence,1956
Émilie Julien,1950,F,Propre Ancien Point Enfant Beauté Vol Lutte,1982
Claudine Schmitt,1954,F,Moitié Lourd Je Quitter,1990
Danielle Michel,1949,F,Décrire Confier Imposer Soulever,1979
Andrée Munoz-Raymond,1911,F,Éclat Relever Train Lutte Pensée Mort Unique,1944
Charlotte de Lecoq,1926,F,User Contenir Pluie À Bête Dans,1956
Susanne Louis,1933,F,Résultat Fatigue Refuser Propre Disparaître Trente Nu D'Autres,1965
Thérèse Rousseau,1930,F,Autant Terminer Aspect Debout,1959
Marianne Gérard,1951,F,Français Ligne Remercier Résistance Métier,1979
Hortense Delannoy,1948,F,Brûler Chef Oh Midi Douleur Combat Plaire,1984
Alexandrie de Maillet,1933,F,Soin Heureux Faire Abandonner Monter Rencontrer Pont Chaleur,1963
Pénélope de la Rémy,1947,F,Malheur Rouge Forme Pareil Sortir Admettre Double,1984
Christine du Laroche,1951,F,Départ Argent De Pointe Mari Doucement,1979
Josette-Christiane Traore,1945,F,Courant Remonter Tenter Ramener Commencement,1974
Laetitia Duhamel,1914,F,Envie As Mémoire Ruine Couler Humide Vous Occuper,1950
Christine-Susan Laine,1915,F,Voisin Nombreux Accorder Profond Déchirer Un,1944
Alice Le Raymond,1910,F,Dessus Avouer Puis Mal Vol Semblable Flot,1945
Valérie Huet,1950,F,Soir Donner Tellement Bataille,1978
Sabine-Michèle Guillon,1919,F,Compagnie Regard Fer Dont Ne Sable,1955
Amélie Simon,1922,F,Rassurer Moyen Convenir Boire,1952
Patricia Le Weber,1915,F,Pièce Devenir Visite Voix,1948
Pauline Dubois,1923,F,Visite Mauvais Trou Personne Reconnaître Ciel,1958
Andrée-Joséphine Ferrand,1952,F,Coûter Toucher Cheval,1981
Suzanne-Catherine Lucas,1955,F,Feuille Ancien Tenter Si,1988
Margot-Agnès Jacquet,1949,F,Que Eau Paupière Retour Blond But Accuser,1983
Caroline Lopez,1939,F,Rose Rire Papier Repousser À Appeler Vue,1970
Antoinette Diallo-Morel,1936,F,Dominer Absolument Mettre Quitter Exécuter,1969
Christiane Raynaud,1941,F,Affaire Tâche Savoir Libre,1972
Arnaude David,1927,F,Résister Inconnu Peser Surtout Créer,1960
Julie du Auger,1919,F,Volonté Charger Leur Souvenir,1947
Édith Gros,1942,F,Vague Beaux Si Suite,1978
Sophie Maury,1916,F,Drame Engager Pauvre Malheur,1952
Alexandrie Dumont de Vallet,1932,F,Tendre Chose Montrer Peur Veille Monde Prendre,1961
Astrid de Blondel,1953,F,Raconter Chiffre Admettre But Continuer,1987
Alex Merle,1939,F,Devenir Foi Rapide Tracer,1974
Susan-Lorraine Gillet,1910,F,Grand Franchir Sauvage Politique,1944
Paulette Bazin-Carre,1901,F,Entretenir Pont Erreur Selon Nation Songer Voix,1935
Christelle De Oliveira,1926,F,Ailleurs Rompre Taire Soin Parcourir Art Regarder,1961
Brigitte-Édith Jourdan,1946,F,Pensée Assez Cuisine Poète,1979
Henriette Gay,1955,F,Page Autrefois Honte Toucher,1985
Paulette Valette-Raymond,1909,F,Endroit Désigner Réflexion Camarade Taire Léger Dur,1944
Suzanne Pires,1923,F,Rejoindre Éviter Foule Accent,1959
Nathalie Fabre,1926,F,Choix Consentir Source Accompagner Celui Partir Être,1956
Andrée Lefebvre,1930,F,Silence Forêt Pendant Discussion Sou Route Jeune,1960
Adélaïde du Renard,1924,F,Vite Pierre Anglais Même Souffrance Lequel,1956
Constance du Schmitt,1952,F,Tuer Visage Fusil Secours Système Mari Arrière Ancien,1989
Corinne-Audrey Nicolas,1928,F,Remettre Usage Consentir Regarder Terre,1960
Maggie-Laure Lucas,1922,F,Discussion Taille Étendre Occasion Entraîner Rare Plaire Voir,1952
Éléonore du Diallo,1929,F,Soit Fou Quinze,1962
Julie Vallée,1914,F,Sourd Effort Même Distance,1946
Constance Lefort,1905,F,Ville Français Vêtir Demi,1936
Pénélope Laroche,1913,F,Palais Large Espace Plutôt,1943
Marguerite Lecoq,1944,F,Ignorer Saison Devoir Peser,1976
Anne François,1937,F,Moitié Fatiguer Musique Choisir Alors Accompagner,1968
Nathalie Lefebvre-Klein,1910,F,Résultat Peine Quel Lien,1943
Geneviève Adam,1950,F,Passion Propos Finir Tandis Que Saison,1984
Marie Weiss,1946,F,Construire Course Sembler Troubler Huit,1976
Laure Brunel,1931,F,Cercle Connaître Certainement Couvrir,1959
Aurore Le Renard,1943,F,Marier Cou Cri Un Père Âgé Absence,1971
Arnaude Blin,1919,F,Pendant Seul Bataille Doigt Donner Tombe,1954
Corinne Bertin,1907,F,Coin Inutile Jeunesse Masse Consentir Condition,1936
Laurence Roche,1942,F,Matière Voiture Sable Disposer Banc Signe,1977
Claude Le Munoz,1926,F,Grand Recevoir Choisir Confondre,1956
Martine Lacombe,1936,F,Tomber Vision Lueur Supporter,1967
Christine Couturier,1942,F,Or Honneur Prison Prêter Médecin Règle,1973
Alexandrie Le Goff,1911,F,Confier Autre Cabinet Lui Tantôt Membre,1947
Geneviève du Langlois,1929,F,Aide Goût Compte Folie Passé,1962
Michelle Bruneau Le Chauvin,1919,F,Livre Lèvre Matin Réclamer,1951
Michelle Pinto,1929,F,An Siège Race Race Eaux,1959
Denise Huet,1910,F,Muet Séparer Occuper Vieillard Suivant,1946
Bernadette Godard,1937,F,Nuit Ailleurs Durant Trop Transformer Franc,1973
Audrey Leclerc,1905,F,Conscience Asseoir Également Répandre,1935
Sabine de Launay,1912,F,Sable Penser Poète Sonner Exister Champ,1943
Andrée Lecoq,1946,F,Veille Tout Passé Et Le Caresser,1982
Cécile Lopez,1951,F,Rapport Tandis Que Nombre Assurer,1985
Lorraine Langlois,1908,F,Marche Douceur Peine Dur,1939
Céline Lambert,1951,F,Curiosité Cacher Assez Saluer,1984
Susanne Morel,1912,F,Fort Début Humain Ville Hiver Aile,1945
Émilie Chrétien de Thomas,1929,F,Apparence Commun Réel Arme,1964
Agathe Lebreton-Lebrun,1926,F,Espace Anglais Bon Premier Ramener Sentiment,1959
Michelle de la David,1923,F,Fonction Assister Ni Ton Qui,1951
Céline-Nathalie Collin,1914,F,Classe Autorité Compagnie Médecin Subir Précéder Répéter,1945
Marine Deschamps-Hernandez,1957,F,Cent Air Vers Oncle Déchirer Remplacer Sang,1988
Anouk de Delorme,1907,F,Maison Ramener Pays,1939
Pauline Bernier,1903,F,Dernier Son Satisfaire Époque Porte Intérieur,1938
Emmanuelle Becker,1927,F,Poste Ce Également,1960
Adrienne Ribeiro,1941,F,Esprit Froid Seul Camarade,1970
Caroline-Constance Alexandre,1960,F,Finir Recommencer Petit Madame Séparer Rocher Argent,1989
Laetitia-Pénélope Verdier,1917,F,Classe Soutenir Intérieur Éteindre,1953
Hélène-Margot Bailly,1912,F,Paquet Chacun Arme Nuit Exister Centre Semaine Égal,1947
Marguerite Picard,1905,F,Condition Avis Naturel Guère Court Général Vague,1940
Patricia Garnier-Hernandez,1950,F,Être Curieux Travail Source Éclat Étendre,1982
Anne Da Costa,1905,F,Condition Roche Fusil,1938
Éléonore Antoine,1929,F,Tu Attitude Agir Livrer Réclamer Dire Rare,1963
Colette Marty,1957,F,Bande Remplir Énorme Résister Courir Argent Secret,1989
Amélie Lopes,1953,F,Essayer Quatre Faire Calme,1985
Margaud de la Laporte,1950,F,Temps Cheveu Veiller Bande Oui,1979
Michelle du Lamy,1929,F,Erreur Cas Arracher Avant,1965
Capucine Boulanger de la Vallée,1942,F,Danger Idée Entourer Être Nature Saint Plan,1972
Anaïs Renard,1910,F,Cabinet Courant Âme Visage Prix Avec Solitude,1942
Victoire Jacquet,1905,F,Chasse Cou Garder Chaîne Réunir Doucement,1936
Alex Menard,1936,F,Père Façon Envoyer Quelque Aimer,1967
Diane Lemoine-Morel,1920,F,Plan Sembler Droite Passage Leur,1952
Charlotte Dos Santos de Laporte,1929,F,Allumer Tête Interrompre Droit Couche Agir Décider,1962
Camille Berger,1934,F,Ce Promener Rapport,1962
Danielle Bernier-Gauthier,1954,F,Milieu Marcher Fin Maître Interrompre Violent Suivre,1988
Édith Guichard,1903,F,Essayer Intérêt Sac Campagne Construire Son Point,1939
Andrée Blanc,1915,Female,Accord Forme Affaire Baisser Craindre Sauvage,1951
Stéphanie Dupont,1919,Female,Blanc Pluie Rare Sauvage Français,1952
Diane Chrétien Le Bègue,1907,Female,Frapper Sentiment Siècle Arriver Essuyer Tard Fauteuil,1943
Laure Cousin,1930,Female,Monter Puis Plutôt Supposer Tranquille Prétendre Envelopper,1963
Emmanuelle Giraud,1949,Female,Être Somme Ceci,1978
Marine du Bodin,1907,Female,Hauteur Image Reposer,1938
Camille Martinez,1935,Female,Rencontre Faim Franchir,1964
Astrid Lenoir,1902,Female,Notre Tendre Chute Également Courir Riche,1936
Juliette Gilles,1925,Female,Valeur François Genre Mémoire Époque Appel Vêtir,1961
Chantal Mendès,1926,Female,Achever Minute Mot Accrocher Bras,1956
Anouk Étienne,1934,Female,Figurer Même Certain Colère,1968
Noémi-Maryse Colin,1953,Female,Auteur Pas Bas Vol Direction Faveur Espoir,1986
Frédérique Bernier,1939,Female,Lieu Tout Avant Repousser Vieillard,1969
Susan Grondin,1940,Female,Prouver Emmener Envelopper Parent,1977
Alexandrie Chauvet de Deschamps,1906,Female,Eh Page Pointe Bon Suivre Écraser,1939
Laure Blanchard,1910,Female,Avouer Papa Seulement Général Comme Se Prière,1946
Hortense Hardy,1909,Female,Compagnon Ouvert Prochain Cuisine,1945
Michelle Blondel,1959,Female,Bureau Pleurer Lever Poste Être Promener Côte,1988
Anastasie Mace,1944,Female,Malheur Double Intérêt Palais,1980
Lucie Gilles,1948,Female,Cerveau Arriver Bon,1981
Alexandria Perrin-Mahe,1922,Female,Libre Mieux Est Regard,1956
Claude-Inès Charles,1932,Female,Robe Vivre Oublier Proposer,1966
Sabine Lévêque,1907,Female,Chasser Remplacer Abattre Céder,1942
Lorraine Delattre,1937,Female,Chemise Cependant Soir Absence,1968
Sylvie Allain,1905,Female,Ailleurs Tenter Voix Imaginer Terminer Fine,1938
Véronique-Frédérique Collet,1916,Female,Haut Le Arrêter Quartier Jeu Propre Peuple Étaler,1952
Célina-Arnaude Germain,1942,Female,Prier Désirer Toujours Sorte Accepter Soutenir Ventre,1979
Valérie Masson-Martins,1952,Female,Oh Nation Fixe Assurer,1982
Chantal Fleury,1905,Female,Plaine Compagnon Amour Jusque Table Souvenir Paraître,1941
Claude Maury,1912,Female,Devant Bon Premier Général Loi Afin De Libre,1941
Renée Thierry,1950,Female,Nous Avoir Pièce Foi Que Moi Enlever,1983
Marguerite Becker,1954,Female,Devenir Quoi Problème Terreur Moindre Tranquille Société,1983
Claude Le Le Gall,1947,Female,Plaine Toute Depuis Élément Soin,1981
Jeanne Leconte,1936,Female,Juge Repousser Liberté Bureau Détruire Boire Arrêter,1970
Claire Garnier,1906,Female,Présent De Retenir Doute Français,1939
Aurélie Devaux,1913,Female,Dame Lien Énergie Enfin,1949
Maggie Robin,1933,Female,Résoudre Leur Coucher Intérieur Honte Enfin Remettre,1969
Agnès Perret,1931,Female,Maintenant Détacher Fin De,1967
Laetitia Maillot,1928,Female,Printemps Douze Esprit Chose,1961
Clémence David,1907,Female,Très Voyage Fruit Troisième Jeunesse Mentir,1937
Clémence Fernandez,1947,Female,Malgré Soudain Petit Du Bas Toile,1980
Monique Diallo,1915,Female,Aucun Répéter Huit Calme Quitter,1951
Pauline Delattre-Grégoire,1936,Female,Gris Grave Voyager,1968
Michelle Marchand,1912,Female,Printemps Plaine Soutenir Rose Ventre Léger Endormir,1942
Marie Verdier,1921,Female,Lisser Contre Franchir Quitter Notre Pensée Présent,1954
Marianne Colin Le Berger,1929,Female,Véritable Quelque Rouge Juge Accomplir Pitié,1964
Jacqueline-Adèle Merle,1950,Female,Bonheur Petit Frais Fine Certes Fête,1980
Henriette Ollivier,1946,Female,Etc Parvenir Cent Surprendre Bois Terre Nouveau,1975
Sylvie Rivière,1941,Female,Rompre Magnifique Éprouver,1970
Inès de la Ferreira,1941,Female,Feu Vendre Ventre,1970
Anouk Schmitt,1914,Female,Table Pareil Combat Pluie Conseil Tourner Rien,1949
Margot Dijoux,1948,Female,Aventure Intelligence Quelque Sérieux Causer Juge Partie,1978
Michèle Bonnet,1932,Female,Désert Charge Attitude Maintenir,1963
Michèle Pasquier,1950,Female,Jour Réclamer Oeil Notre Lune,1979
Caroline-Christelle Guérin,1941,Female,Rendre Lèvre Sien Caractère Battre,1975
Dominique Gaillard,1950,Female,Tenir Conseil Écraser Discours,1986
Nath Germain,1929,Female,Cerveau Occuper Compagnon Mener Réalité Grand,1960
Pauline Cordier,1954,Female,Lui Entrer Inquiétude Seigneur Chute Prière Curiosité,1986
Amélie Le Vallet,1920,Female,Importance Leur Lentement Courant Accomplir Corde Plus,1949
Gabrielle-Éléonore Morin,1910,Female,D'Autres Dans Paysage Officier Oncle,1945
Amélie Gosselin,1917,Female,Assurer Race Puissance Drame Courir Fort,1949
Clémence-Laure Laroche,1948,Female,Demande Chose Travers Voisin Énorme Tromper Lorsque,1978
Sophie Simon-Faure,1925,Female,Tuer Demander Endroit,1953
Paulette Charles,1917,Female,Rentrer Couler Être Soi,1951
Manon Le Gall Le Gomes,1904,Female,Sauter Attention Nommer Paix Champ Tête Lever Fait,1937
Denise Raymond-Aubert,1912,Female,Désigner Paquet Interroger,1943
Clémence Monnier,1919,Female,Dent Suite Religion Bouche Général Oeil Sol,1955
Margaux Brunet de la Lejeune,1925,Female,Triste Quinze Verre Famille Grâce Déchirer,1958
Frédérique Legendre-Leclercq,1959,Female,Continuer Réfléchir Voyage Habiter Parti Mériter,1990
Sophie-Nathalie Chevallier,1953,Female,Saison Marier Précipiter Accrocher Mot Manier,1989
Marianne Marchand de Chevalier,1943,Female,Produire Abattre Premier,1975
Camille Bazin,1919,Female,Papier Ton Casser Casser Chaleur Pluie User Chemin,1949
Emmanuelle de Masse,1911,Female,D'Autres Fil Intéresser Même Doux,1946
Adélaïde du Collin,1940,Female,Fenêtre Muet Jardin Défendre,1968
Danielle Marty-Michel,1909,Female,Faire Autre Abri Salut Manger,1945
Capucine Le Nguyen,1912,Female,Journée Papa Roman Commencement Étranger,1945
Renée Pons,1921,Female,Passé Oui Position Jardin Changement Courage Repas,1949
Philippine de la Gosselin,1919,Female,École Voile Chaud Aventure Fou Quelqu'Un Contre Eh,1949
Dorothée Grégoire,1917,Female,Fête Papier Sol Nord,1949
Susanne Denis,1923,Female,Expérience As Travailler Temps,1958
Anastasie Rousset,1935,Female,Compagnon Atteindre Demande Au Maître Pauvre,1967
Michèle Clément,1934,Female,Sentir Appartenir Recherche,1970
Marine Briand,1938,Female,Désigner Dieu Retomber Voilà Rendre Loin Espèce Trace,1973
Catherine Guyot,1923,Female,Miser Oncle Cent Reculer Pousser Midi,1955
Océane-Jacqueline Leroy,1918,Female,Nature Neuf Franc Trembler Monsieur Casser,1953
Dominique Marie,1919,Female,Couper Commencer Peine Chaîne Comprendre,1950
Olivie Lefort Le Lamy,1949,Female,Premier Chambre Fatigue Chance,1981
Sabine-Claude Gaudin,1911,Female,Éclairer Examiner Protéger Avant D'Autres Cri Couleur,1939
Maggie Fischer,1908,Female,Glisser Durer Travailler Lèvre Animer Leur,1938
Martine Joseph,1936,Female,Bête Rang Profond Mot,1972
Michelle Martineau,1928,Female,Patron Espérer Plein An Vaincre Coin Spectacle,1957
Laetitia Guillot,1932,Female,Salut Fumer Plaindre,1963
Claude-Jacqueline Joseph,1939,Female,Songer Hasard Froid Ramasser Répandre,1973
Emmanuelle Faure,1958,Female,Ligne Paysage Tâche Préparer Sueur Vingt Hasard,1989
Clémence Bonneau de la Vasseur,1943,Female,Angoisse Agir Envoyer Million Enfance Vraiment,1974
Françoise de Poirier,1912,Female,Titre Saluer Justice Trop Trembler,1947
Antoinette Collet,1958,Female,Grandir Goût Aucun Voilà Bois Journée,1987
Anouk Robin,1900,Female,Grandir Prévenir Chaise Peau,1937
Colette Imbert du Vallée,1934,Female,Personne Y Sien Retrouver,1967
Véronique Hoareau-Merle,1909,Female,Immobile Là Police Pouvoir Toute Finir,1943
Danielle Charles,1922,Female,Veiller Remplir Problème Exemple Étouffer Tomber Anglais,1954
Anouk Boucher-Boucher,1940,Female,Jeu Monsieur Recevoir Réduire,1971
Jeanne Lesage-Marchal,1927,Female,Quelque Commander Foi Jeu Pourquoi Fusil,1958
Sophie-Marie Wagner,1947,Female,Demi Meilleur Sans Trace Membre Prison Ligne,1975
Marthe Guillot,1925,Female,Terrain Quinze Professeur Plein Sentier,1961
Inès Guyot,1925,Female,Employer Magnifique Fumer Curiosité Couleur Rire,1955
Claude Bonnin,1920,Female,Parcourir Fixer Spectacle Personne Large,1953
Colette Diaz,1908,Female,Prochain Non Riche Fils Facile Flot,1942
Alexandrie Fournier,1944,Female,Ci Trou Discuter,1979
Adélaïde de la Marques,1914,Female,Matin Courage Fusil,1946
Anaïs Jean,1941,Female,Neuf Prétendre Convenir Appel Bleu Entier Apparaître,1975
Maryse Buisson,1914,Female,Or Regard Immobile,1943
Aurore Ferreira,1958,Female,Aucun Lit Plan Larme Lors Lutter Tranquille,1988
Margot Dubois,1953,Female,Tirer Durant Avenir Rapidement,1983
Thérèse Mathieu,1939,Female,Autre Aide Pareil Mine Froid Créer Rapporter,1972
Lorraine Delaunay,1908,Female,Odeur Mémoire Élever Violence Relation,1941
Françoise Vasseur,1905,Female,Chose Magnifique Courant Parmi Seul Du Beauté Quatre,1937
Susan Alexandre-Monnier,1940,Female,Fille Portier Choix Herbe Signer Trou Dehors,1970
Philippine-Juliette Bailly,1945,Female,Pont Action Désormais Accord Essuyer Revoir Hésiter Dangereux,1980
Christelle Bouvet,1918,Female,Escalier Lequel Attitude Tirer Moyen Assister,1947
Margaret Leconte-Navarro,1938,Female,Groupe Hôtel Réfléchir Engager,1970
Océane Blondel,1941,Female,Abri Vivant Gagner Pouvoir Posséder Jardin Courage Partager,1973
Odette Gérard de Gilbert,1950,Female,Choix Compter Élever Croix Hôtel Plan,1978
Jacqueline Wagner,1906,Female,Or Soulever Fou Notre Article Classe Joli,1939
Frédérique Fontaine du Texier,1927,Female,Oui Selon Prononcer Sept Sauter Représenter,1956
Brigitte Thomas,1940,Female,Si Relever Continuer Rose Juge Cri Machine Battre,1976
Victoire Dupuis,1918,Female,Échapper Malheur Importance Avant,1954
Constance-Simone Lecomte,1938,Female,Marchand Particulier Avoir,1975
Michèle Couturier-Chevallier,1910,Female,Exécuter Souhaiter Jeune Tête Être Presser,1943
Stéphanie Leroux,1940,Female,Servir Éviter Paquet Couper,1968
Clémence Courtois-Lemaire,1937,Female,Main Usage Confiance L'Une Blanc Morceau Différent Aider,1972
Emmanuelle Lecomte de la Gomes,1929,Female,Cerveau Rocher Ombre Situation Quart,1963
Louise Ledoux,1935,Female,Banc Lisser Importer Peuple Fixer Huit,1965
Christiane-Caroline Jacquot,1944,Female,Livre Côté Frapper Souffler,1978
Pénélope Lévêque,1938,Female,Nourrir Remplacer Défaut Peur Lier Si Retrouver Arracher,1971
Philippine Martineau-Maury,1910,Female,Contre Moyen Permettre Passion,1944
