Period;Currency;Rate
2007-07-16;MXN;14.835
2007-07-25;CAD;1.4276
2007-08-01;MXN;15.0056
2007-08-05;SEK;9.2137
2007-08-06;MXN;15.2056
2007-08-10;CAD;1.4399
2007-08-13;USD;1.3651
2007-08-16;USD;1.3405
2007-08-16;AUD;1.7072
2007-08-18;AUD;1.7213
2007-08-25;GBP;0.67885
2007-08-27;AUD;1.6425
2007-08-29;AUD;1.6713
2007-09-06;CAD;1.4433
2007-09-10;SEK;9.3725
2007-09-11;CAD;1.4467
2007-09-15;AUD;1.6499
2007-09-20;AUD;1.6248
2007-09-20;GBP;0.6988
2007-09-29;SEK;9.2147
2007-10-05;MXN;15.3476
2007-10-09;MXN;15.2212
2007-10-15;CAD;1.3835
2007-10-24;MXN;15.4296
2007-10-25;AUD;1.5813
2007-10-29;USD;1.4391
2007-11-07;GBP;0.6996
2007-11-08;GBP;0.69625
2007-11-18;USD;1.4651
2007-11-23;USD;1.4809
1999-01-13;SEK;9.14
1999-01-14;AUD;1.8353
1999-01-19;CAD;1.7739
1999-01-27;GBP;0.6968
1999-02-08;USD;1.1246
1999-02-09;SEK;8.907
1999-02-13;AUD;1.7459
1999-02-17;SEK;8.907
1999-02-19;GBP;0.6838
1999-02-22;SEK;8.9075
1999-03-02;SEK;8.985
1999-03-03;AUD;1.7454
1999-03-06;SEK;8.9355
1999-03-09;MXN;10.5926
1999-03-17;MXN;10.6106
1999-03-18;CAD;1.6728
1999-03-18;GBP;0.676
1999-03-24;GBP;0.6653
1999-04-01;SEK;8.889
1999-04-18;MXN;10.1617
1999-04-23;GBP;0.6583
1999-04-30;SEK;8.9075
1999-05-07;USD;1.0786
1999-05-08;USD;1.0786
1999-05-13;SEK;8.9634
1999-05-17;CAD;1.5683
1999-05-24;MXN;9.9314
1999-05-29;AUD;1.6046
1999-06-06;GBP;0.6412
1999-06-09;SEK;8.9285
1999-06-12;AUD;1.5796
1999-06-12;CAD;1.5273
1999-06-13;SEK;8.8785
1999-06-17;USD;1.034
1999-06-22;USD;1.0313
1999-06-29;SEK;8.7485
1999-06-30;SEK;8.747
1999-07-03;CAD;1.5066
1999-07-12;USD;1.0124
1999-07-15;GBP;0.6513
1999-07-19;GBP;0.6511
1999-07-19;SEK;8.7135
1999-07-22;AUD;1.6199
1999-07-29;USD;1.068
1999-08-05;AUD;1.6449
1999-08-06;GBP;0.665
1999-08-09;CAD;1.6056
1999-08-12;GBP;0.6614
1999-08-14;CAD;1.5826
1999-08-13;GBP;0.6619
1999-08-19;USD;1.0517
1999-08-19;SEK;8.7485
1999-08-22;GBP;0.659
1999-08-30;CAD;1.5547
1999-09-08;SEK;8.617
1999-09-20;MXN;9.7122
1999-09-20;SEK;8.5785
1999-09-21;AUD;1.6083
1999-09-21;GBP;0.6383
1999-09-21;SEK;8.577
1999-09-23;SEK;8.5935
1999-10-13;SEK;8.7225
1999-10-14;AUD;1.6528
1999-10-20;GBP;0.646
1999-10-20;SEK;8.7945
1999-10-26;AUD;1.6281
1999-10-27;USD;1.0552
1999-10-30;USD;1.0453
1999-10-29;GBP;0.6393
1999-11-04;GBP;0.6389
1999-11-10;MXN;9.7861
1999-11-18;AUD;1.623
1999-12-07;MXN;9.6855
1999-12-08;USD;1.0236
1999-12-09;GBP;0.6261
1999-12-12;USD;1.0141
1999-12-14;AUD;1.5795
1999-12-18;USD;1.0128
1999-12-19;MXN;9.4984
1999-12-20;USD;1.0096
1999-12-21;MXN;9.4124
1999-12-28;AUD;1.5667
2000-01-11;GBP;0.6251
2000-01-17;MXN;9.5181
2000-01-22;USD;1.0097
2000-01-24;AUD;1.5295
2000-02-05;USD;0.9835
2000-02-06;AUD;1.557
2000-02-08;AUD;1.5634
2000-02-09;GBP;0.6169
2000-02-17;CAD;1.4409
2000-02-19;CAD;1.4288
2000-02-27;CAD;1.4265
2000-02-26;GBP;0.6155
2000-02-28;AUD;1.571
2000-03-05;USD;0.9659
2000-03-05;CAD;1.4051
2000-03-04;SEK;8.47
2000-03-14;SEK;8.398
2000-03-19;USD;0.9672
2000-03-22;MXN;8.9083
2000-03-25;AUD;1.6005
2000-03-25;GBP;0.6115
2000-03-28;USD;0.9647
2000-03-29;USD;0.9568
2000-03-31;SEK;8.2825
2000-04-08;USD;0.9564
2000-04-13;AUD;1.5916
2000-04-14;MXN;9.0224
2000-04-18;MXN;8.9661
2000-04-28;MXN;8.5382
2000-04-28;SEK;8.14
2000-05-17;CAD;1.3289
2000-05-18;USD;0.8942
2000-05-25;USD;0.8981
2000-05-25;CAD;1.36
2000-05-28;AUD;1.6002
2000-06-05;CAD;1.3905
2000-06-11;MXN;9.4683
2000-06-18;AUD;1.5724
2000-06-22;GBP;0.6244
2000-06-25;AUD;1.5788
2000-06-24;SEK;8.2765
2000-07-02;MXN;9.4245
2000-07-13;MXN;8.8274
2000-07-21;GBP;0.6185
2000-07-22;GBP;0.6185
2000-07-23;SEK;8.388
2000-08-17;MXN;8.4001
2000-08-22;MXN;8.2951
2000-08-27;SEK;8.38
2000-08-29;MXN;8.2717
2000-08-30;MXN;8.231
2000-09-02;GBP;0.6135
2000-09-06;USD;0.8818
2000-09-08;CAD;1.2884
2000-09-17;MXN;8.0232
2000-09-19;SEK;8.378
2000-09-20;GBP;0.5989
2000-09-25;GBP;0.6028
2000-09-26;AUD;1.5992
2000-10-01;AUD;1.618
2000-10-04;CAD;1.3098
2000-10-08;CAD;1.2997
2000-10-06;MXN;8.2305
2000-10-20;GBP;0.5832
2000-10-21;GBP;0.5832
2000-10-20;MXN;8.0823
2000-10-21;MXN;8.0823
2000-10-25;USD;0.8307
2000-10-25;AUD;1.5978
2000-10-25;MXN;8.0225
2000-10-31;AUD;1.6377
2000-11-01;CAD;1.3038
2000-11-01;MXN;8.1981
2000-11-04;AUD;1.652
2000-11-06;CAD;1.3283
2000-11-10;GBP;0.6059
2000-11-13;GBP;0.6016
2000-11-15;USD;0.8596
2000-11-18;GBP;0.5999
2000-11-17;MXN;8.1317
2000-11-20;CAD;1.3213
2000-11-21;USD;0.8474
2000-11-23;USD;0.8427
2000-11-23;AUD;1.6221
2000-11-27;MXN;7.8935
2000-11-28;AUD;1.6226
2000-12-02;USD;0.8735
2000-12-01;AUD;1.6302
2000-12-11;SEK;8.5513
2000-12-15;USD;0.8984
2000-12-20;AUD;1.651
2000-12-20;CAD;1.3807
2000-12-20;MXN;8.5455
2000-12-22;USD;0.924
2000-12-24;USD;0.924
2000-12-24;CAD;1.4053
2000-12-27;MXN;8.9175
2000-12-30;MXN;8.9255
2000-12-31;MXN;8.9255
2001-01-08;GBP;0.6328
2001-01-13;CAD;1.4244
2001-01-16;MXN;9.3423
2001-01-18;CAD;1.4196
2001-01-21;MXN;9.1865
2001-01-19;SEK;8.887
2001-01-25;MXN;8.8555
2001-01-30;SEK;8.8408
2001-02-01;SEK;8.8968
2001-02-03;GBP;0.6364
2001-02-09;CAD;1.3931
2001-03-05;CAD;1.4362
2001-03-07;MXN;8.9795
2001-03-16;USD;0.8947
2001-03-16;MXN;8.6224
2001-03-16;SEK;9.145
2001-03-19;GBP;0.6292
2001-03-25;MXN;8.5538
2001-03-27;CAD;1.3962
2001-04-07;GBP;0.6265
2001-04-09;MXN;8.4502
2001-04-12;AUD;1.7425
2001-04-14;USD;
2001-04-16;GBP;
2001-04-19;USD;0.8827
2001-04-23;AUD;1.7794
2001-04-27;MXN;8.3896
2001-05-05;MXN;8.2806
2001-05-05;SEK;9.1353
2001-05-07;AUD;1.72
2001-05-16;CAD;1.3666
2001-05-17;CAD;1.354
2001-06-03;CAD;1.3009
2001-06-05;MXN;7.7663
2001-06-16;MXN;7.8934
2001-07-03;USD;0.8497
2001-07-15;MXN;7.9335
2001-07-26;MXN;8.0059
2001-08-01;CAD;1.3553
2001-08-04;USD;0.8806
2001-08-03;MXN;8.0624
2001-08-13;USD;0.8991
2001-08-20;CAD;1.4145
2001-08-21;GBP;0.6304
2001-08-22;CAD;1.4272
2001-08-23;CAD;1.4072
2001-08-24;AUD;1.718
2001-08-25;CAD;1.4048
2001-08-24;SEK;9.3873
2001-08-31;CAD;1.4143
2001-09-05;AUD;1.708
2001-09-16;USD;0.9219
2001-09-15;CAD;1.4483
2001-09-17;GBP;0.6304
2001-09-18;MXN;8.7454
2001-09-18;SEK;9.7209
2001-09-30;AUD;1.842
2001-10-01;MXN;8.6801
2001-10-04;SEK;9.6897
2001-10-14;AUD;1.809
2001-10-17;AUD;1.7628
2001-10-21;MXN;8.2924
2001-10-26;MXN;8.2641
2001-10-30;MXN;8.4146
2001-11-08;GBP;0.6128
2001-11-11;SEK;9.4244
2001-11-14;AUD;1.6855
2001-11-15;AUD;1.6989
2001-11-18;USD;0.8845
2001-11-16;CAD;1.4075
2001-11-17;SEK;9.377
2001-11-21;GBP;0.6194
2001-11-22;USD;0.8778
2001-11-23;AUD;1.701
2001-11-27;GBP;0.6236
2001-11-29;AUD;1.7125
2001-12-01;GBP;0.6238
2001-12-07;MXN;8.2213
2001-12-17;MXN;8.2645
2001-12-20;SEK;9.512
2001-12-23;AUD;1.7649
2001-12-30;GBP;0.6085
2001-12-29;SEK;9.3012
2002-01-02;CAD;1.4436
2002-01-08;SEK;9.2353
2002-01-15;AUD;1.7196
2002-01-28;CAD;1.383
2002-02-01;GBP;0.61
2002-02-18;GBP;0.6098
2002-02-18;MXN;7.894
2002-02-21;CAD;1.3823
2002-03-05;MXN;7.8808
2002-03-06;CAD;1.3836
2002-03-14;CAD;1.4055
2002-03-17;USD;0.8853
2019-03-28;SEK;10.476
2019-03-29;MXN;21.691
2019-03-31;MXN;21.691
2019-04-01;USD;1.1236
2019-04-14;GBP;0.8629
2019-04-24;GBP;0.86545
2019-04-27;AUD;1.5824
2019-04-29;CAD;1.5028
2019-05-07;MXN;21.2691
2019-05-12;GBP;0.8625
2019-05-25;GBP;0.88318
2019-05-28;SEK;10.6865
2019-05-29;GBP;0.88225
2019-06-10;AUD;1.6235
2019-06-10;SEK;10.6455
2019-06-16;CAD;1.5018
2019-06-28;USD;1.138
2019-07-04;USD;1.1288
2019-07-07;USD;1.126
2019-07-05;CAD;1.4712
2019-07-08;USD;1.1215
2019-07-17;GBP;0.9034
2019-07-19;AUD;1.5913
2019-07-26;USD;1.1138
2019-07-27;SEK;10.5585
2019-08-04;CAD;1.4698
2019-08-09;MXN;21.7803
2019-08-15;SEK;10.7305
2019-08-18;MXN;21.6321
2019-08-19;MXN;21.8458
2019-08-24;SEK;10.7165
2019-08-28;GBP;0.90823
2019-09-13;AUD;1.6126
2019-09-14;CAD;1.4663
2019-09-18;USD;1.1053
2019-09-28;CAD;1.4493
2019-09-30;SEK;10.6958
2019-10-04;SEK;10.8105
2019-10-06;SEK;10.8105
2019-10-08;AUD;1.6286
2019-10-10;AUD;1.6307
2019-10-17;SEK;10.8105
2019-10-22;SEK;10.7303
2019-10-26;USD;1.1107
2019-10-30;AUD;1.6199
2019-11-07;GBP;0.86442
2019-11-11;CAD;1.4607
2019-11-18;MXN;21.2907
2019-11-24;AUD;1.6287
2019-11-30;USD;1.0982
2019-11-29;AUD;1.6228
2019-12-09;MXN;21.3499
2019-12-10;SEK;10.5565
2019-12-12;GBP;0.8456
2019-12-22;CAD;1.4579
2019-12-23;SEK;10.4473
2019-12-24;GBP;0.85533
2019-12-27;CAD;1.4592
2019-12-31;AUD;1.5995
2020-01-13;CAD;1.4514
2020-01-13;SEK;10.5598
2020-01-14;SEK;10.5248
2020-01-22;AUD;1.6184
2020-01-23;CAD;1.4599
2020-01-26;CAD;1.4491
2020-01-27;MXN;20.8715
2020-01-28;AUD;1.629
2020-02-02;CAD;1.4627
2020-02-08;AUD;1.6417
2020-02-09;GBP;0.8472
2020-02-10;CAD;1.458
2020-02-11;USD;1.0901
2020-02-13;GBP;0.83375
2020-02-18;USD;1.0816
2020-02-22;AUD;1.6363
2020-02-23;SEK;10.569
2020-02-26;CAD;1.4469
2020-03-01;AUD;1.6875
2020-03-03;USD;1.1117
2020-03-03;MXN;21.6599
2020-03-05;GBP;0.8667
2020-03-13;SEK;10.8453
2020-03-16;GBP;0.90918
2020-03-18;GBP;0.9219
2020-03-20;MXN;25.6864
2020-03-20;SEK;11.0598
2020-03-27;AUD;1.8209
2020-04-05;CAD;1.5299
2020-04-08;SEK;10.9385
2020-04-09;AUD;1.7444
2020-04-14;CAD;1.5257
2020-04-14;MXN;25.8485
2020-04-15;CAD;1.533
2020-04-17;CAD;1.528
2020-04-20;AUD;1.7085
2020-04-24;CAD;1.5173
2020-05-10;SEK;10.5875
2020-05-13;GBP;0.88245
2020-05-14;USD;1.0792
2020-05-15;CAD;1.5231
2020-05-19;AUD;1.6751
2020-05-19;CAD;1.5251
2020-05-21;SEK;10.53
2020-05-29;MXN;24.57
2020-06-01;SEK;10.4635
2020-06-06;CAD;1.5237
2020-06-12;SEK;10.5103
2020-06-20;GBP;0.90505
2020-06-22;USD;1.1213
2020-06-22;GBP;0.90328
2020-06-26;AUD;1.6313
2020-06-27;SEK;10.4773
2020-06-29;AUD;1.6406
2020-06-30;USD;1.1198
2020-07-06;SEK;10.4848
2020-07-10;MXN;25.6953
2020-07-14;USD;1.1375
2020-07-22;GBP;0.91123
2020-07-24;MXN;26.0804
2020-07-29;GBP;0.90385
2020-08-04;USD;1.1765
2020-08-14;CAD;1.5649
2020-08-15;MXN;26.2027
2020-08-17;AUD;1.6485
2020-08-20;GBP;0.90173
2020-08-30;AUD;1.6216
2020-09-03;MXN;25.7175
2020-09-10;USD;1.1849
2020-09-13;SEK;10.3713
2020-09-18;MXN;24.7344
2020-09-22;USD;1.174
2020-09-26;USD;1.1634
2020-09-26;GBP;0.91343
2020-09-28;CAD;1.562
2020-09-28;MXN;25.9525
2020-09-30;USD;1.1708
2020-10-09;AUD;1.6405
2020-10-13;GBP;0.90591
2020-10-16;MXN;24.872
2020-10-18;SEK;10.3593
2020-10-25;CAD;1.5563
2020-10-28;SEK;10.371
2020-10-29;AUD;1.6673
2020-10-31;USD;1.1698
2020-10-30;CAD;1.5556
2020-11-02;CAD;1.5466
2020-11-05;AUD;1.6356
2020-11-18;AUD;1.6226
2020-11-24;AUD;1.6175
2020-12-03;MXN;24.1384
2020-12-04;USD;1.2159
2020-12-16;AUD;1.6103
2020-12-16;GBP;0.8995
2020-12-19;GBP;0.90828
2020-12-18;MXN;24.328
2020-12-28;MXN;24.3136
2020-12-28;SEK;10.107
2021-01-04;SEK;10.0895
2021-01-21;USD;1.2158
2021-02-03;USD;1.2017
2021-02-04;SEK;10.1358
2021-02-08;CAD;1.5363
2021-02-10;USD;1.2127
2021-02-13;MXN;24.2515
2021-02-25;CAD;1.5257
2021-03-04;MXN;25.0615
2021-03-04;SEK;10.1595
2021-03-05;USD;1.1938
2021-03-12;GBP;0.85835
2021-03-20;GBP;0.85763
2021-03-21;GBP;0.85763
2021-03-19;MXN;24.16
2021-04-01;GBP;0.85195
2021-04-09;GBP;0.86658
2021-04-15;GBP;0.86753
2021-04-18;SEK;10.1055
2021-04-20;SEK;10.1288
2021-04-24;USD;1.2066
2021-04-23;CAD;1.5062
2021-05-01;AUD;1.5581
2021-04-30;GBP;0.86863
2021-05-10;GBP;0.86195
2021-05-19;AUD;1.5765
2021-05-26;SEK;10.1503
2021-06-02;SEK;10.0898
2021-06-08;AUD;1.5718
2021-06-11;AUD;1.5687
2021-06-11;CAD;1.4687
2021-06-26;MXN;23.6766
2021-07-01;USD;1.1884
2021-07-06;GBP;0.8545
2021-07-09;AUD;1.5868
2021-07-21;CAD;1.4932
2021-07-30;GBP;0.8514
2021-08-03;GBP;0.85355
2021-08-06;MXN;23.5178
2021-08-13;MXN;23.3755
2021-08-24;CAD;1.4822
2021-08-28;USD;1.1761
2021-09-07;GBP;0.86115
2021-09-11;SEK;10.1843
2021-10-07;USD;1.1562
2021-10-09;MXN;23.8295
2021-10-12;GBP;0.84755
2021-10-27;CAD;1.4414
2021-10-29;GBP;0.8449
2021-11-15;GBP;0.85165
2021-11-29;GBP;0.84583
2021-12-13;SEK;10.231
2021-12-14;SEK;10.281
2021-12-19;AUD;1.5815
2022-01-01;CAD;1.4393
2022-01-02;GBP;0.84028
2022-01-03;CAD;1.442
2022-01-06;USD;1.1315
2022-01-16;CAD;1.433
2022-01-15;SEK;10.2684
2022-01-17;MXN;23.1901
2022-01-20;CAD;1.4158
2022-01-23;MXN;23.2229
2022-02-03;GBP;0.83208
2022-02-14;USD;1.1316
2022-02-21;AUD;1.5751
2022-02-21;MXN;22.9951
2022-03-01;CAD;1.4158
2022-03-13;SEK;10.646
2022-03-18;USD;1.1008
2022-03-26;AUD;1.4624
2022-03-28;GBP;0.83643
2022-04-02;AUD;1.4696
2022-04-05;MXN;21.7474
2022-04-11;USD;1.09
2022-04-20;MXN;21.6392
2022-04-20;SEK;10.23
2022-04-21;USD;1.0887
2022-04-24;AUD;1.4816
2022-04-27;MXN;21.6259
2022-05-02;MXN;21.4758
2022-05-04;USD;1.0531
2022-05-12;USD;1.0408
2022-05-15;CAD;1.3505
2022-05-16;CAD;1.3473
2022-05-16;SEK;10.4978
2022-05-24;CAD;1.3714
2022-05-27;USD;1.0722
2022-06-02;SEK;10.4705
2022-06-10;SEK;10.5255
2022-06-18;AUD;1.5039
2022-06-17;GBP;0.855
2022-06-20;GBP;0.85748
2022-06-25;GBP;0.85773
2022-06-24;MXN;20.9901
2022-06-27;MXN;21.041
2022-06-29;MXN;21.1375
2022-06-29;SEK;10.6848
2022-07-11;GBP;0.8454
2022-07-15;AUD;1.4886
2022-07-24;CAD;1.3105
2022-07-25;CAD;1.3168
2022-08-01;MXN;20.7635
2022-08-02;USD;1.0224
